date,section,lead_paragraph
2018-12-11 01:01:45+00:00,Sports,"LAS VEGAS — Harold Baines has been a punch line before. At a presidential debate in 2000, George W. Bush, the former owner of the Texas Rangers, invoked him when asked to name the biggest mistake of his adult life: “I signed off on that wonderful transaction — Sammy Sosa for Harold Baines,” Bush said."
2019-05-30 10:08:33+00:00,World,"JERUSALEM — After the spectacular collapse of Prime Minister Benjamin Netanyahu’s attempt to build a coalition threw Israel into an unprecedented do-over election, Israeli public attention on Thursday was glued to two politicians."
2019-05-27 20:50:54+00:00,World,"PARIS — President Emmanuel Macron of France lost his bet that he would defeat the far right, not only losing the election to the European Parliament but getting beaten by the populist firebrand he roundly defeated only two years ago, Marine Le Pen."
2019-04-18 22:04:22+00:00,U.S.,"WASHINGTON — In the months before the 2016 presidential election, Russia’s military intelligence agency penetrated computer systems in at least one Florida county government and planted malware in systems at a manufacturer of election equipment, the special counsel, Robert S. Mueller III, said in his office’s final report on Russian interference in the election."
2019-07-24 10:00:02+00:00,Podcasts,We look at how a campaign rooted in racial polarization could affect President Trump’s chances of winning in 2020.
2019-01-11 00:29:46+00:00,New York,[What you need to know to start the day: Get New York Today in your inbox.]
2019-04-09 16:08:22+00:00,Reader Center,Is Israel ready for a changing of the guard?
2018-11-06 14:47:49+00:00,U.S.,See full results and maps from the Wyoming midterm elections.
2019-05-12 06:45:11+00:00,World,"LONDON — Less than two weeks before pivotal elections for the European Parliament, a constellation of websites and social media accounts linked to Russia or far-right groups is spreading disinformation, encouraging discord and amplifying distrust in the centrist parties that have governed for decades."
2018-11-06 14:52:04+00:00,U.S.,See full results and maps from the Arizona midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Kansas midterm elections.
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the Washington midterm elections.
2018-11-09 14:00:01+00:00,Technology,"Each week, technology reporters and columnists from The New York Times review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry. Want this newsletter in your inbox? Sign up here."
2019-05-19 16:37:52+00:00,World,"KABUL, Afghanistan — A group of lawmakers, many of them women, blocked the Afghan Parliament’s newly appointed speaker from taking his seat on Sunday, and security forces were dispatched after a scuffle broke out."
2018-11-06 14:54:19+00:00,U.S.,See full results and maps from the Nevada midterm elections.
2019-02-14 06:00:05+00:00,Opinion,"JAKARTA, Indonesia — When Joko Widodo, the incumbent president of Indonesia, last year chose Ma’ruf Amin as his running mate for the general election this April, it became clear that Indonesian politics is now backed into a corner. Mr. Ma’ruf is an Islamic cleric and scholar, and Mr. Joko was perhaps hoping to dampen attacks from conservative and radical Islamic groups that have called him anti-Islam (even though he is Muslim himself). Instead, he has built a Trojan horse for his opponents outside the walls of his own city."
2018-11-06 14:54:21+00:00,U.S.,See full results and maps from the District of Columbia midterm elections.
2019-06-26 16:02:46+00:00,World,"JERUSALEM — Ehud Barak, a former Israeli prime minister and longtime critic of Prime Minister Benjamin Netanyahu, announced Wednesday that he was forming a new political party to run in the September election."
2018-11-06 14:54:17+00:00,U.S.,See full results and maps from the Utah midterm elections.
2018-11-06 14:52:01+00:00,U.S.,See live governor results and maps.
2018-11-06 14:54:15+00:00,U.S.,See full results and maps from the New Jersey midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Nebraska midterm elections.
2019-04-01 00:03:43+00:00,World,"ISTANBUL — President Recep Tayyip Erdogan confronted the prospect of a stunning political defeat on Monday, as local voting in Turkey showed his party had lost the capital, Ankara, and possibly Istanbul, its largest city and his key base of support for many years."
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Montana midterm elections.
2018-11-30 20:25:08+00:00,U.S.,A North Carolina congressional election that a Republican appeared to have narrowly won is now in limbo as state elections officials investigate voting irregularities and questions about the handling of absentee ballots.
2018-11-06 14:54:14+00:00,U.S.,See full results and maps from the Indiana midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Maryland midterm elections.
2019-02-27 16:07:49+00:00,Opinion,"TEL AVIV — His slogan contends that “there is no more left or right.” The list of candidates he’s running with includes a hawkish former Likud defense minister and a hawkish former Likud government secretary. In his first speech as a candidate, he vowed to keep the Jordan Valley “our eastern security border” and to “maintain security in the entire land of Israel,” by which he means the West Bank. A campaign video credits him with sending parts of Gaza “back to the Stone Age.”"
2019-07-05 01:51:25+00:00,World,"Sudan’s military and civilian leaders announced on Friday that they had reached an agreement to share power until elections, promising an end to the standoff that has paralyzed the African country since the ouster of President Omar Hassan al-Bashir in April."
2019-05-26 21:26:16+00:00,World,"BRUSSELS — Populists and nationalists who want to chip away at the European Union’s powers increased their share in Europe’s Parliament after four days of continent-wide elections, but it was not the deluge that many traditionalists had feared."
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Oregon midterm elections.
2018-12-21 18:13:42+00:00,U.S.,"WASHINGTON — Russian operations meant to polarize American voters continued during the midterm elections, but did not compromise the voting systems used, according to a study by the intelligence community."
2018-12-29 15:13:54+00:00,World,"DHAKA, Bangladesh — Bangladeshi voters will decide in parliamentary elections on Sunday whether to punish the governing party for worsening human rights conditions or reward it for overseeing a booming economy."
2019-05-04 15:10:01+00:00,U.S.,"WASHINGTON — Speaker Nancy Pelosi does not believe President Trump can be removed through impeachment — the only way to do it, she said this week, is to defeat him in 2020 by a margin so “big” he cannot challenge the legitimacy of a Democratic victory."
2018-11-06 14:52:03+00:00,U.S.,See full results and maps from the Alabama midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Ohio midterm elections.
2018-11-06 11:06:33+00:00,Podcasts,Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher
2018-09-06 21:31:40+00:00,U.S.,"WASHINGTON — Amid a chorus of warnings that the American election system is ground zero for foreign attackers, a panel of leading scholars and election experts issued a sweeping set of recommendations on Thursday for how to make elections more secure."
2018-11-17 18:14:31+00:00,U.S.,County officials in Maryland miscalculated how many ballots they would need on Election Day — and quickly ran out in more than a dozen precincts.
2019-05-23 19:09:55+00:00,World,"LONDON — There was an odd feeling in the air Thursday, almost one of suspended animation, as Britons voted in elections for a European Parliament that Britain was supposed to have quit by now and lawmakers took a day off from their back-room machinations to oust Prime Minister Theresa May."
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Iowa midterm elections.
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the Idaho midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Tennessee midterm elections.
2018-09-26 09:00:04+00:00,Magazine,"It was mid-July 2016 when Neil Jenkins learned that someone had hacked the Illinois Board of Elections. Jenkins was a director in the Office of Cybersecurity and Communications at the Department of Homeland Security, the domestic agency with a congressional mandate to protect “critical infrastructure.” Although election systems were not yet formally designated as such — that wouldn’t happen until January 2017 — it was increasingly clear that the presidential election was becoming a national-security issue. Just a month before, Americans had been confronted with the blockbuster revelation that Russian government actors had hacked the Democratic National Committee’s servers and stolen private email and opposition research against Donald Trump, the Republican presidential candidate."
2019-05-23 20:50:26+00:00,World,"After hundreds of millions of Indians cast ballots across megacities, mountains and islands, Prime Minister Narendra Modi won the biggest re-election India has witnessed in decades."
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Michigan midterm elections.
2018-12-04 22:10:44+00:00,U.S.,See full results and maps from the Georgia secretary of state election.
2018-11-06 14:52:03+00:00,U.S.,See full results and maps from the Arkansas midterm elections.
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the Pennsylvania midterm elections.
2019-07-16 20:44:31+00:00,World,"JERUSALEM — A former Israeli leader who is seeking to topple Prime Minister Benjamin Netanyahu is facing scrutiny over his financial and personal ties to Jeffrey Epstein, the American financier charged with sex trafficking and abusing underage girls."
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Minnesota midterm elections.
2018-11-06 14:54:17+00:00,U.S.,See full results and maps from the Wisconsin midterm elections.
2018-11-06 14:52:06+00:00,U.S.,See full results and maps from the Colorado midterm elections.
2018-11-14 01:19:01+00:00,U.S.,"HOLLYWOOD, Fla. — There was an election in Broward County, Fla., 16 years ago that was roundly condemned as a mess. There were allegations of voting irregularities, and numerous problems were reported in tallying every last vote. The Republican governor at the time, Jeb Bush, removed the county elections supervisor from office for incompetence and decided on a new woman for the job."
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Florida midterm elections.
2019-02-27 10:32:26+00:00,New York, [Want to get New York Today by email? Here's the sign-up.]
2019-05-15 08:03:15+00:00,World,"GAINDAWAS, India — Swati Yadav had lost count of the number of village campaign stops she had made since her morning began — was it 27, or 28?"
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Missouri midterm elections.
2018-11-06 14:54:17+00:00,U.S.,See full results and maps from the Oklahoma midterm elections.
2018-11-06 14:54:17+00:00,U.S.,See full results and maps from the Illinois midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the Georgia midterm elections.
2019-05-27 01:12:40+00:00,World,"Britain’s new populist Brexit Party was on course to win the country’s European Parliament elections, according to early results released on Sunday, further roiling the already turbulent politics of a country polarized over its failed effort to leave the European Union."
2019-05-25 08:25:39+00:00,World,"REGGELLO, Italy — The stage was set for war. Literally. Inside a small Tuscan theater with a mock-up of a World War I trench, Susanna Ceccardi, a rising star of Italy’s hard-right League party, was flanked by rival candidates for the European Parliament elections and firing angry salvos against a club she soon hopes to join."
2019-05-19 18:06:56+00:00,World,"NEW DELHI — Prime Minister Narendra Modi, one of the most powerful and divisive leaders India has produced in decades, appeared headed for re-election, according to exit polls released Sunday at the end of mammoth parliamentary elections."
2018-11-06 14:54:20+00:00,U.S.,See full results and maps from the Connecticut midterm elections.
2019-05-23 13:48:23+00:00,World,"NEW DELHI — He called himself India’s watchman, even as minorities said they felt unsafe under his gaze. He boasted of his humble origins while doing favors for billionaires. He spoke the language of business, yet could not deliver enough jobs to Indians aspiring to a better life."
2019-04-13 08:51:22+00:00,World,"Democracy doesn’t get much simpler than one person, one vote. But what happens when that one person is a hermit living alone in a jungle temple surrounded by lions, leopards and cobras, miles from the nearest town?"
2019-05-05 16:30:07+00:00,Technology,"DUBLIN — Inside a large room in Facebook’s European headquarters in Ireland’s capital, about 40 employees sit at rows of desks, many with two computer screens and a sign representing a country in the European Union."
2019-02-26 10:33:53+00:00,New York, [Want to get New York Today by email? Here's the sign-up.]
2018-10-31 05:46:47+00:00,U.S.,The candidates in the midterm elections are among the most diverse set to run in the history of the United States.
2018-11-03 15:00:04+00:00,Opinion,"As the 2018 midterm election nears, an ominous question looms: Will this election be hacked?"
2018-11-06 14:52:06+00:00,U.S.,See full results and maps from the California midterm elections.
2018-11-06 21:45:41+00:00,Opinion,To the Editor:
2018-11-06 14:54:22+00:00,U.S.,See full results and maps from the North Carolina midterm elections.
2018-10-15 18:40:22+00:00,Opinion,"Beyond the heat and the noise, substantive issues are at stake as the midterm elections near. What are the top one or two issues that will affect your vote, and why?"
2018-11-06 14:54:17+00:00,U.S.,See full results and maps from the North Dakota midterm elections.
2019-04-17 04:06:58+00:00,World,"JAKARTA, Indonesia — President Joko Widodo of Indonesia led by a comfortable margin in unofficial returns in his re-election bid on Wednesday, as he appeared to fend off a challenge by a four-time presidential candidate supported by hard-line Islamists."
2018-11-01 16:28:45+00:00,Business Day,"WASHINGTON — Shane Huntley has seen every form of state-sponsored cyberattack, first as an Australian intelligence officer and now as director of Google’s most advanced team of threat detectors."
2018-11-06 14:51:57+00:00,U.S.,See live U.S. Senate results and maps.
2018-08-24 18:04:05+00:00,Opinion,To the Editor:
2018-11-07 11:03:54+00:00,Podcasts,Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the New Mexico midterm elections.
2018-11-07 15:45:01+00:00,Opinion,To the Editor:
2018-11-06 14:54:22+00:00,U.S.,See full results and maps from the Maine midterm elections.
2019-04-04 15:48:17+00:00,World,"JERUSALEM — Frustrated over their choices in the Israeli election, and at Arab politicians whom they describe as ineffective, some Palestinian citizens of Israel have been gathering popular support for a boycott of Tuesday’s ballot."
2018-12-17 18:17:19+00:00,U.S.,"WASHINGTON — Senator Lamar Alexander, Republican of Tennessee and one of the last bridges to bipartisanship in the Senate, announced on Monday that he would not seek re-election in 2020, citing a desire to leave the Senate “at the top of my game.”"
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the Rhode Island midterm elections.
2019-02-27 11:00:02+00:00,Podcasts,The investigation into a congressional seat narrowly won by a Republican reveals a detailed playbook for how election fraud can happen in the United States.
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the West Virginia midterm elections.
2019-05-04 15:00:11+00:00,World,"JOHANNESBURG — The “war room” for the African National Congress candidates running in local elections three years ago was an elaborate operation with new computers, wall monitors, lodging for volunteers and catered food three times a day."
2018-11-06 14:54:21+00:00,U.S.,See full results and maps from the Massachusetts midterm elections.
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the South Dakota midterm elections.
2018-11-06 13:43:03+00:00,Opinion,This article is part of the Opinion Today newsletter. You can sign up here to receive the newsletter each weekday.
2018-11-12 15:11:39+00:00,U.S.,"Amid the recounts, recriminations and allegations of voter suppression or ballot fraud, something else happened in Tuesday’s elections — a wave of actions aimed at making voting easier and fairer that is an often-overlooked strain in the nation’s voting wars."
2018-11-06 14:54:20+00:00,U.S.,See full results and maps from the Texas midterm elections.
2018-11-06 14:54:21+00:00,U.S.,See full results and maps from the Vermont midterm elections.
2019-05-08 04:15:05+00:00,World,"JOHANNESBURG — Millions of South Africans cast ballots on Wednesday, voting for the first time since President Cyril Ramaphosa assumed power early last year with promises to renew both his corruption-ridden party and the beleaguered nation."
2019-04-12 10:00:01+00:00,Podcasts,"We asked Fadi Quran about his life in the West Bank, and what he makes of Benjamin Netanyahu’s campaign pledge for annexation."
2018-11-06 14:52:02+00:00,U.S.,See full results and maps.
2019-04-16 14:52:49+00:00,World,"ISTANBUL — The party of President Recep Tayyip Erdogan of Turkey applied to the country’s election commission on Tuesday for a rerun of the Istanbul mayor’s race, after two weeks of appeals and recounting of ballots still showed the opposition candidate ahead."
2019-04-10 17:03:43+00:00,T Magazine,"Mona Mansour’s original play “Leave the Car,” inspired by images creative directed by Humberto Leon and Carol Lim, written for T's Culture issue."
2019-08-23 10:26:41+00:00,World,"HONG KONG — Hong Kong residents on Friday night formed human chains across large parts of the city in a call for direct elections, a test of the continuing strength of the monthslong protest movement and a display that recalled a major anti-Soviet demonstration from 30 years ago."
2019-04-01 20:06:00+00:00,Technology,"NEW DELHI — After a suicide bombing on Feb. 14 in the disputed border region of Kashmir, India accused neighboring Pakistan of harboring the terrorists who it said had orchestrated the attack. The two countries quickly traded airstrikes."
2019-05-17 13:44:49+00:00,World,"ISTANBUL — Even before the Turkish authorities took the extraordinary step of undoing an opposition victory and calling a new election for mayor of Istanbul, the government had spent billions to prop up the country’s flagging currency over the last year and bolster its candidates."
2019-04-10 18:12:38+00:00,World,NEW DELHI — It is the biggest election in history.
2019-05-14 09:00:11+00:00,U.S.,"North Carolina Republicans have controlled the state’s Ninth Congressional District since 1963. In November, the party celebrated a narrow 905-vote victory over the Democratic candidate, and the long streak appeared unbroken."
2018-11-06 23:05:00+00:00,U.S.,Live analysis of the latest election results from The New York Times on election night.
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the Virginia midterm elections.
2019-08-18 23:00:05+00:00,Opinion,"One of the largest single disclosures of small-donor information in American history took place on July 31. On that day, the names, addresses, occupations and employers of at least 2.3 million people who contributed money to 2020 Democratic presidential candidates were listed on the internet for all to see. The culprits were not Russian hackers or disgruntled tech workers, but the Democratic presidential candidates and the federal government."
2018-11-06 05:51:08+00:00,U.S.,"Good Tuesday morning, and happy Election Day. Here are some of the stories making news in Washington and politics today."
2018-11-20 01:32:15+00:00,U.S.,"LAUDERHILL, Fla. — The Republican candidate for commissioner of agriculture in Florida conceded his loss Monday — sort of."
2019-04-28 07:00:06+00:00,World,"MADRID — Spain’s governing Socialist Party strengthened its hold on Sunday in the country’s third national election since 2015, with nearly complete results suggesting a growing political polarization and party fragmentation."
2018-10-29 21:58:09+00:00,U.S.,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
2019-04-21 17:44:47+00:00,World,"KIEV, Ukraine — The comedian Volodymyr Zelensky won a landslide victory in Ukraine’s presidential election, according to official results with nearly all of the votes counted, making a comic actor with no experience in government or the military the commander in chief of a country that has been at war with Russian proxies for over five years."
2019-03-31 17:03:59+00:00,World,"ABUJA, Nigeria — When a Nigerian presidential candidate landed in the United States in January after years of being subject to a visa ban because of corruption allegations, he had a team of Western consultants and lobbyists to thank for the warm American welcome."
2019-04-16 04:01:05+00:00,World,"JAKARTA, Indonesia — Hammering a podium and railing against the rich and powerful, Prabowo Subianto, a former general now in the homestretch of Indonesia’s presidential campaign, whipped up the crowd of thousands."
2019-08-01 09:00:11+00:00,Movies,"Even if you’ve never seen “Election,” Alexander Payne’s 1999 comedy about high school politics run amok, you probably know something about Tracy Flick. She is, after all, a pop-culture archetype. In the 20 years since the movie, adapted from a novel by Tom Perrotta, was released to critical praise and disappointing ticket sales, Tracy’s name has become a synonym for relentless drive and obnoxious self-confidence. Her image — sending her hand skyward in class when she knows the answer, which is always; passing out cupcakes frosted with her own name; haranguing her schoolmates at Carver High to “Pick Flick” for student body president — has been immortalized in countless memes. Reese Witherspoon may have gone on to win an Oscar and run with the mean moms on “Big Little Lies,” but Tracy remains (along with Elle Woods from “Legally Blonde”) her defining role."
2019-02-26 23:37:31+00:00,World,"MOSCOW — The treason trial of some of Russia’s top cybersecurity officials ended on Tuesday without solving the mysteries at the center of the case: Why had the men been arrested and what, if anything, did they have to do with Russia’s efforts to disrupt the 2016 American presidential election? Was the prosecution driven not by geopolitical concerns but by a businessman’s desire for revenge?"
2019-02-04 16:02:49+00:00,Health,"In the days after President Trump was elected, some women saw his victory as reason to worry: Would he fulfill his campaign promise to repeal the Affordable Care Act? And if so, would it eventually become harder and costlier to obtain birth control?"
2018-11-06 14:54:18+00:00,U.S.,See full results and maps from the New York midterm elections.
2018-11-06 14:54:17+00:00,U.S.,See full results and maps from the Kentucky midterm elections.
2018-11-06 20:03:21+00:00,U.S.,"See the results for the House of Representatives, the Senate and governors’ races, and read our analysis."
2019-04-26 00:13:42+00:00,U.S.,"[Read the latest edition of Crossing the Border, a limited-run newsletter about life where the United States and Mexico meet. Sign up here to receive the next issue in your inbox.]"
2018-10-28 07:00:04+00:00,World,"SÃO PAULO, Brazil — Voters in Brazil, the world’s fourth-largest democracy, appear poised to elect a far-right populist as president in a runoff election on Sunday that could signal the biggest political shift in the country since the end of the military dictatorship in 1985."
2018-11-05 20:20:30+00:00,Opinion,To the Editor:
2019-05-21 05:41:33+00:00,World,"MANDALIKA, Indonesia — The woman threw herself on the road in front of the motorcade, forcing the vehicle with the license plate “Indonesia 1” to slam on the brakes."
2018-10-22 15:00:05+00:00,Opinion,"America is facing a crisis on which, for once, Democrats and Republicans can agree: low voter turnout in local elections. Nationwide, only 27 percent of eligible voters vote in the typical municipal election. "
2018-11-16 10:00:11+00:00,U.S.,"Amid a numbing succession of mass shootings, gun control groups outspent the National Rifle Association in the midterm election cycle, federal filings and additional reporting indicate, upending the usual order in the partisan battle over gun use."
2019-06-25 23:00:07+00:00,Opinion,"If you were hiring someone for a vitally important job, would you begin by interviewing 10 applicants at a time, hoping that the ones with the snappiest sound bites might also be most qualified for the job? Of course not. And yet that’s the bizarre logic behind this week’s Democratic presidential debates."
2019-04-30 19:49:36+00:00,New York,[What you need to know to start the day: Get New York Today in your inbox.]
2018-11-06 14:54:22+00:00,U.S.,See full results and maps from the New Hampshire midterm elections.
2019-03-05 13:27:12+00:00,U.S.,"Jeff Merkley, a two-term senator from Oregon, has opted out of running for the 2020 presidential nomination, forgoing what would have been a long-shot bid against some of the most famous names in Democratic politics. He said he would instead pursue re-election to the Senate."
2019-04-01 18:00:51+00:00,U.S.,"The Chicago mayoral election in February was the most crowded in city history, with 14 candidates on the ballot, including respected local government leaders, a charismatic entrepreneur who routinely hands out $100 bills to strangers, and even a candidate named Daley, whose brother and father were mayors before him. "
2019-03-23 10:24:33+00:00,World,"BANGKOK — Pauline Ngarmpring is running for prime minister of Thailand, one of around 70 candidates for the job. She will not win."
2018-09-23 11:16:16+00:00,World,"NEW DELHI — The Maldives, the isolated scattering of islands caught in a geopolitical struggle between China, India and the West, were thrust into more uncertainty Sunday when voters appeared to have ousted the country’s autocratic president."
2018-11-07 20:41:37+00:00,Climate,WASHINGTON — The results of Tuesday’s elections could have a significant influence on how the United States deals with global warming in several ways.
2018-12-11 21:42:20+00:00,U.S.,"The chairman of the North Carolina Republican Party said Tuesday that a new election in the state’s Ninth Congressional District may be necessary after reports that early voter data was improperly leaked by the elections board in Bladen County, where state officials are already investigating possible electoral fraud."
2018-11-22 11:23:49+00:00,World,"TAIPEI, Taiwan — As Taiwan prepares to hold local elections on Saturday, concerns are growing that Beijing’s long effort to sway the island’s politics has been armed with a new weapon: a Russia-style influence campaign."
2018-11-13 04:30:36+00:00,U.S.,"ATLANTA — A federal judge on Monday ordered a delay in the certification of Georgia’s election results, citing concerns about the state’s voter registration system and the handling of provisional ballots. The decision effectively deepened the turmoil in Georgia’s campaign for governor, a still unsettled contest that has been among the most acrimonious campaigns in the nation this year."
2018-11-07 23:30:20+00:00,Business Day,"After an Election Day largely free of viral social media misinformation, and with little trace of the kind of Russian troll stampede that hit its platform in 2016, executives at Facebook may be tempted to take a victory lap."
2019-04-26 23:05:30+00:00,U.S.,"It was the day before the 2016 presidential election, and at the Volusia County elections office, near Florida’s Space Coast, workers were so busy that they had fallen behind on their correspondence."
2018-06-09 01:04:29+00:00,Opinion,"PHOENIX —  As primaries roll by and the midterms approach, it’s worth remembering that for Republicans 2016 represented an opportunity more than a victory. It was a chance for them to help the country break the 30-year-spell the Clintons and the Bushes cast, President Barack Obama notwithstanding."
2018-10-22 23:45:37+00:00,U.S.,"President Trump on Monday sharply intensified a Republican campaign to frame the midterm elections as a battle over immigration and race, issuing a dark and factually baseless warning that “unknown Middle Easterners” were marching toward the American border with Mexico."
2018-11-16 01:28:44+00:00,U.S.,"For Florida and Georgia, two outsize states in the Deep South, Election Day hasn’t actually ended."
2019-03-01 17:15:25+00:00,World,JERUSALEM — Israelis were confronted with a rude new reality on Friday: a prime minister running for re-election while facing indictment for corruption.
2018-10-23 09:00:07+00:00,U.S.,"WASHINGTON — The United States Cyber Command is targeting individual Russian operatives to try to deter them from spreading disinformation to interfere in elections, telling them that American operatives have identified them and are tracking their work, according to officials briefed on the operation."
2018-09-21 19:05:20+00:00,Opinion,To the Editor:
2018-12-13 00:39:25+00:00,World,"MOSCOW — A court in Ukraine has ruled that officials in the country violated the law by revealing, during the 2016 presidential election in the United States, details of suspected illegal payments to Paul Manafort."
2018-10-24 21:53:00+00:00,U.S.,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
2018-11-07 11:05:01+00:00,New York,Good morning on this radiant Wednesday.
2019-05-18 11:06:06+00:00,World,BERLIN — Austria’s leadership was thrown into turmoil on Saturday after a video emerged that raised questions about whether Russia had direct influence inside a government at the heart of Europe.
2019-04-09 11:51:10+00:00,World,"Trying to reverse a stinging setback, Turkey’s ruling party on Tuesday demanded a redo of last week’s election for mayor of Istanbul, the country’s largest city and long a source of power and prestige for President Recep Tayyip Erdogan."
2019-05-24 18:32:49+00:00,World,"NEW DELHI — Narendra Modi, India’s prime minister, is returning to power by an astonishing margin — defying expectations, leaving the political opposition gutted and securing nearly two-thirds of the lower chamber of Parliament."
2018-11-07 18:15:14+00:00,Reader Center,"The Democrats took control of the House and won a few critical governorships during Tuesday’s midterm elections, delivering a rebuke to President Trump, as Republicans maintained control of the Senate and had their own big successes in state races.How are you feeling about the results? What do you think they say about the state of the country? Tell us in the comments how you think the election results will affect you, your community and the country at large. We will be featuring some of the comments below. Learn how to comment here."
2018-11-06 13:00:04+00:00,U.S.,Get live results here. | Read more analysis here.
2019-01-18 22:00:59+00:00,U.S.,"Susan Bucher, the supervisor of elections in Palm Beach County, Fla., was suspended on Friday by the state’s new governor, Ron DeSantis, after problems in her county contributed to chaos during the state’s midterm election recount."
2018-11-07 09:20:46+00:00,U.S.,Good Wednesday morning. Here are some of the stories making news in Washington and politics today.
2019-05-09 13:01:35+00:00,World,"JOHANNESBURG — South Africa’s long-governing African National Congress party appeared headed for a victory in national elections, partial results showed on Thursday, though its support seemed to have dipped under the leadership of President Cyril Ramaphosa."
2019-02-27 23:38:51+00:00,World,"UNITED NATIONS — Forcing a possible United Nations showdown with Russia over the Venezuela crisis, the United States distributed a resolution on Wednesday calling for “free, fair and credible presidential elections” in the impoverished Latin American country and unfettered distribution of humanitarian aid."
2018-11-05 05:03:05+00:00,U.S.,Good Monday morning. Here are some of the stories making news in Washington and politics today.
2018-11-07 11:52:43+00:00,The Learning Network,"How much attention did you pay to the midterm elections? How do you feel about the results? What do you think they mean for you, your community, your state and our nation as a whole?"
2019-04-29 09:00:07+00:00,New York,[What you need to know to start the day: Get New York Today in your inbox.]
2018-11-19 13:47:10+00:00,U.S.,"MIAMI — Brenda C. Snipes, the elections supervisor of Broward County, Fla., turned in a letter of resignation on Sunday, hours after the conclusion of a vote recount that exposed a series of failures in her office, including a poorly designed ballot that may have contributed to a weak showing by the defeated Senate incumbent, Bill Nelson."
2019-03-04 15:42:51+00:00,World,"Vows by Algeria’s ailing president, Abdelaziz Bouteflika, to set early elections should he win a new term in April appear not to have satisfied the thousands of demonstrators who have rallied against his candidacy."
2018-11-06 14:54:16+00:00,U.S.,See full results and maps from the South Carolina midterm elections.
2018-09-19 17:56:30+00:00,Technology,"MENLO PARK, Calif. — Sandwiched between Building 20 and Building 21 in the heart of Facebook’s campus, an approximately 25-foot-by-35-foot conference room is under construction."
2018-10-04 14:13:06+00:00,U.S.,"Many Americans will cast their ballots in voting booths on Nov. 6. But for some, voting begins far earlier. The dates below list the early voting dates for each of the states that allow it."
2018-08-06 23:16:05+00:00,Opinion,"Last week’s national elections in Zimbabwe were a critical test of whether President Emmerson Mnangagwa was really prepared to lead the revival of a country brought to ruin by his autocratic predecessor, Robert Mugabe. So far, the aftermath of the elections that gave Mr. Mnangagwa and the governing ZANU-PF party at least five more years in power has given little reason for celebration."
2018-09-06 15:39:29+00:00,U.S.,See full results and maps from the Delaware primaries.
2018-11-05 17:53:26+00:00,U.S.,Throwing a party for the midterm elections?
2018-11-06 23:32:13+00:00,U.S.,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
2018-11-07 09:00:30+00:00,Business Day,"Stocks jumped on Wednesday, extending a recovery from the sharp sell-off in October with broad-based gains, after midterm elections that will split control of the United States government between both major parties."
2018-10-28 23:38:22+00:00,World,BERLIN — Voters in one of Germany’s most prosperous states punished Chancellor Angela Merkel’s conservatives again on Sunday in an election that was seen as yet another barometer of her and her party’s standing with the German public.
2018-09-01 00:29:18+00:00,Opinion,"Happy International Vulture Awareness Day! Honest to gosh. No snickering. Vultures do a lot of good things for the environment, and they’re tired of being dismissed just because they look creepy and eat carrion. No vulture, for instance, has ever been known to drive a golf cart onto the putting green. Or brag about grabbing a lady vulture by her private parts. Or separate children from their mothers at the border. Go vultures."
2018-11-02 19:03:41+00:00,Reader Center,"In an effort to shed more light on how we work, The Times is running a series of short posts explaining some of our journalistic practices. Read more of this series here."
2018-10-20 09:00:11+00:00,U.S.,"As Election Day draws near, a growing amount of disinformation is getting published online to confuse, inflame or distract potential voters. "
2018-09-26 15:33:02+00:00,World,"UNITED NATIONS — President Trump on Wednesday accused a foreign power of meddling in an American election: not Russia, but China."
