year_type,year,organization_group_code,organization_group,department_code,department,union_code,union,job_family_code,job_family,job_code,job,employee_identifier,salaries,overtime,other_salaries,total_salary,retirement,health_dental,other_benefits,total_benefits,total_compensation
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,1206,55949.5,40.52,1611.45,57601.47,12549.46,12500.56,4759.51,29809.53,87411.0
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,42412,56531.0,0.0,5882.38,62413.38,12372.42,12424.5,5096.96,29893.88,92307.26
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,45876,54395.17,0.0,2908.05,57303.22,12200.84,12155.59,4497.13,28853.56,86156.78
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,29597,64302.25,1851.95,2096.21,68250.41,19708.44,12879.29,5148.84,37736.57,105986.98
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,46059,56531.0,0.0,6729.12,63260.12,13752.55,12424.5,4827.35,31004.4,94264.52
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,21026,67742.63,4966.59,3018.63,75727.85,19377.06,13347.92,5937.59,38662.57,114390.42
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,35698,56531.0,0.0,1965.6,58496.6,12680.14,12424.5,4793.99,29898.63,88395.23
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,34292,0.0,0.0,250.0,250.0,0.0,12.86,0.0,12.86,262.86
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,22619,67272.51,2910.87,2317.51,72500.89,20663.61,13471.92,5546.61,39682.14,112183.03
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,18507,151.38,56.77,0.0,208.15,42.84,0.0,16.45,59.29,267.44
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,9732,52874.2,1560.95,5429.4,59864.55,14298.91,12452.66,4717.03,31468.6,91333.15
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,32332,23214.06,1378.52,391.3,24983.88,5393.05,4497.73,1821.21,11711.99,36695.87
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,32758,64840.52,10904.61,899.66,76644.79,16251.92,13162.46,5867.44,35281.82,111926.61
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,42060,66292.39,12032.23,6839.81,85164.43,21734.21,13278.96,6667.54,41680.71,126845.14
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,47054,12562.63,496.31,82.06,13141.0,3029.83,3873.1,1003.03,7905.96,21046.96
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,44001,60501.57,6008.33,908.45,67418.35,18218.85,12118.59,5154.04,35491.48,102909.83
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,43784,61376.5,21505.07,2246.08,85127.65,13912.68,12500.56,6909.84,33323.08,118450.73
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,975,65040.49,5569.51,2222.37,72832.37,19967.15,13027.89,5451.7,38446.74,111279.11
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9131,"Station Agent, Muni Railway",6814,81620.04,28165.25,12428.68,122213.97,19964.05,12492.65,9776.68,42233.38,164447.35
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3532,63365.3,4173.76,671.58,68210.64,19001.63,12688.84,5215.92,36906.39,105117.03
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,21922,15869.22,3457.93,823.32,20150.47,4903.97,3155.88,1554.36,9614.21,29764.68
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9187,"Deputy Dir II, MTA",27196,140623.08,0.0,0.0,140623.08,30852.72,8668.96,21810.6,61332.28,201955.36
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,11613,25177.0,0.0,2463.6,27640.6,5965.48,6690.11,2078.07,14733.66,42374.26
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,21829,55949.5,0.0,7616.51,63566.01,13777.03,12500.56,4991.89,31269.48,94835.49
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,10486,32572.56,31.46,1085.23,33689.25,8112.67,6709.29,2503.59,17325.55,51014.8
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,6004,30882.51,3932.84,1297.45,36112.8,8176.2,9624.1,2601.36,20401.66,56514.46
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9182,"Manager VIII, MTA",5843,160183.3,0.0,0.0,160183.3,32218.74,12424.51,25488.45,70131.7,230315.0
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,44791,61376.5,23846.4,7903.88,93126.78,13780.24,12500.56,7262.27,33543.07,126669.85
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,21417,92001.3,62451.27,6211.59,160664.16,19684.18,12424.5,10398.47,42507.15,203171.31
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,41244,56531.0,0.0,7771.08,64302.08,13737.72,12424.5,5149.17,31311.39,95613.47
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,41632,63665.33,14765.28,7254.77,85685.38,17577.98,12547.67,6579.6,36705.25,122390.63
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,18470,2072.7,0.0,11.54,2084.24,464.91,431.05,165.25,1061.21,3145.45
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,1443,0.0,0.0,7634.99,7634.99,0.0,0.0,584.07,584.07,8219.06
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,2263,7510.9,620.85,37.64,8169.39,1783.85,2263.9,626.07,4673.82,12843.21
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,27530,63610.57,9016.51,1561.6,74188.68,17797.05,12528.14,5684.88,36010.07,110198.75
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,36192,10991.28,1289.66,350.71,12631.65,3306.02,2190.77,956.18,6452.97,19084.62
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,26111,48804.02,9969.04,5988.36,64761.42,11426.16,6690.11,5264.04,23380.31,88141.73
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,52731,16769.88,0.0,250.0,17019.88,4628.14,3306.47,1258.72,9193.33,26213.21
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,49998,56531.0,325.57,4802.78,61659.35,12662.28,12424.5,5048.61,30135.39,91794.74
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9183,"Deputy Dir I, MTA",38694,196387.05,0.0,0.0,196387.05,39524.0,12424.5,18388.28,70336.78,266723.83
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,26555,50804.32,1406.51,759.89,52970.72,13150.22,11861.28,4255.81,29267.31,82238.03
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,44747,76243.61,11997.24,3890.15,92131.0,16532.1,9700.68,7573.35,33806.13,125937.13
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",1400,"Clerical, Secretarial & Steno",1428,Unit Clerk,1121,64330.19,0.0,812.3,65142.49,13410.34,12191.6,5388.55,30990.49,96132.98
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,47622,50846.36,5588.13,1065.99,57500.48,14651.26,13114.39,4346.18,32111.83,89612.31
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,38929,3936.0,312.23,0.0,4248.23,1113.88,1245.26,308.42,2667.56,6915.79
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9180,"Manager VI, MTA",5562,169058.11,0.0,0.0,169058.11,34026.4,12413.87,17926.37,64366.64,233424.75
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,12296,56531.0,0.0,7518.55,64049.55,12725.28,12424.5,4983.15,30132.93,94182.48
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,32456,56531.0,0.0,3414.87,59945.87,12284.16,12424.5,4906.34,29615.0,89560.87
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9117,Pr Fare Collections Receiver,10167,4453.5,0.0,192.99,4646.49,864.71,716.79,360.64,1942.14,6588.63
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,26316,55202.7,0.0,828.51,56031.21,11629.27,10981.95,4581.49,27192.71,83223.92
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,31102,64866.84,4852.87,1036.19,70755.9,19560.15,12992.49,5342.82,37895.46,108651.36
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",9100,Street Transit,9145,Traffic Signal Electrician,10496,7205.54,0.0,0.0,7205.54,0.0,836.26,558.72,1394.98,8600.52
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,43600,66231.21,6123.56,5434.52,77789.29,19704.92,13060.9,6031.56,38797.38,116586.67
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,29304,64333.02,20093.3,1675.24,86101.56,19591.62,12886.17,6861.04,39338.83,125440.39
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,42474,53817.54,12986.77,2779.9,69584.21,15714.63,10645.94,5425.94,31786.51,101370.72
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,46194,66374.87,4197.16,2402.12,72974.15,17009.02,13292.98,5347.6,35649.6,108623.75
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,14662,64507.41,13387.01,925.06,78819.48,19419.32,12918.31,6032.71,38370.34,117189.82
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,40162,49388.15,15913.23,2873.24,68174.62,15508.3,9856.34,5325.4,30690.04,98864.66
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,17454,52764.56,29.65,1290.0,54084.21,11118.33,10631.5,4494.8,26244.63,80328.84
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,27505,60672.32,845.78,3154.41,64672.51,12982.4,12063.35,5080.0,30125.75,94798.26
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,6780,53556.9,21206.92,4404.71,79168.53,14869.59,12500.56,6394.44,33764.59,112933.12
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,2569,55943.3,0.0,6400.13,62343.43,13663.85,12500.56,5111.15,31275.56,93618.99
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,36423,564.69,0.0,6668.22,7232.91,169.01,112.3,535.6,816.91,8049.82
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9124,Sr Transit Information Clerk,44840,66221.26,0.0,0.0,66221.26,14853.41,12261.09,5321.31,32435.81,98657.07
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,4402,66722.44,14611.85,2376.66,83710.95,18892.46,13145.18,6322.61,38360.25,122071.2
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,32390,9445.64,0.0,147.58,9593.22,0.0,2544.41,742.7,3287.11,12880.33
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,32275,24916.86,3626.01,3951.71,32494.58,6363.42,4955.17,2365.2,13683.79,46178.37
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,23930,64487.62,9159.4,1840.93,75487.95,16158.99,13324.43,5552.44,35035.86,110523.81
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,13659,65359.01,9443.23,756.69,75558.93,16345.49,13269.39,5547.72,35162.6,110721.53
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,47001,33803.4,4348.79,721.1,38873.29,8865.07,10548.04,2965.8,22378.91,61252.2
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9177,"Manager III, MTA",30695,133944.1,0.0,0.0,133944.1,27449.07,10990.9,25380.58,63820.55,197764.65
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3080,33145.72,4438.39,987.28,38571.39,8750.42,10339.75,2958.52,22048.69,60620.08
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,50202,51638.6,0.0,6567.07,58205.67,13477.8,12424.5,4456.88,30359.18,88564.85
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,14883,68147.67,12524.97,3227.35,83899.99,17526.37,13514.86,6420.4,37461.63,121361.62
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,39181,62579.95,12190.95,6237.03,81007.93,18818.4,12325.23,6270.99,37414.62,118422.55
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,17096,57072.49,7987.32,2653.31,67713.12,11958.88,11343.45,5563.16,28865.49,96578.61
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,5794,28766.1,4862.42,1923.87,35552.39,8568.78,9100.99,2534.53,20204.3,55756.69
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,21329,52682.53,0.0,4606.61,57289.14,11542.71,11573.48,4695.53,27811.72,85100.86
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,27589,54394.14,0.0,7518.63,61912.77,13033.77,12191.99,5674.33,30900.09,92812.86
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,22566,39116.5,5673.51,2075.18,46865.19,10310.99,9914.25,3749.96,23975.2,70840.39
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,25782,56531.0,0.0,6765.8,63296.8,13779.89,12424.5,5122.96,31327.35,94624.15
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,28441,57589.47,3815.33,2985.08,64389.88,13191.83,9134.35,5264.22,27590.4,91980.28
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,48164,60862.64,4209.95,703.68,65776.27,18265.63,12194.27,4673.94,35133.84,100910.11
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,40705,63543.2,7563.03,928.86,72035.09,17555.03,12515.06,5615.32,35685.41,107720.5
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1408,Principal Clerk,15621,74165.03,0.0,0.0,74165.03,15285.77,12424.5,5858.88,33569.15,107734.18
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,34922,67556.52,18591.24,7098.79,93246.55,20476.21,13311.06,7277.72,41064.99,134311.54
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,16278,68478.8,10932.03,2250.67,81661.5,19402.29,13498.51,6118.57,39019.37,120680.87
Fiscal,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1402,Junior Clerk,42287,4460.25,0.0,0.0,4460.25,1332.47,1365.02,357.48,3054.97,7515.22
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,33000,38953.26,3507.96,1201.82,43663.04,11227.83,12373.63,3316.54,26918.0,70581.04
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15508,38476.51,4630.05,1080.02,44186.58,10520.52,12041.79,3139.28,25701.59,69888.17
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,6308,14348.08,1507.9,618.68,16474.66,4145.26,4555.88,1245.78,9946.92,26421.58
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,50784,62468.84,2236.71,1312.38,66017.93,12996.94,12424.5,5386.46,30807.9,96825.83
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,4784,68214.92,5476.27,4136.8,77827.99,16486.03,13441.93,5733.32,35661.28,113489.27
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,30646,67438.75,26880.79,2884.09,97203.63,19248.95,13289.2,7348.88,39887.03,137090.66
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,14166,62918.64,999.15,1424.98,65342.77,19096.84,12600.96,4932.96,36630.76,101973.53
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,7019,65874.07,15348.94,874.89,82097.9,19813.32,13193.59,6250.62,39257.53,121355.43
Fiscal,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,10165,53556.91,0.0,3640.98,57197.89,14757.06,12500.56,4658.74,31916.36,89114.25
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,29649,67425.5,2625.88,5386.97,75438.35,19930.79,13284.48,5844.13,39059.4,114497.75
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,40612,65393.45,2448.7,674.11,68516.26,16195.74,13080.14,5227.86,34503.74,103020.0
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,6920,1059.69,283.85,0.0,1343.54,299.89,335.27,104.01,739.17,2082.71
Fiscal,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,2375,55085.1,0.0,6436.08,61521.18,13557.66,12308.98,5069.17,30935.81,92456.99
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3723,51433.98,1733.99,3099.51,56267.48,14220.16,11822.75,4246.61,30289.52,86557.0
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,21775,65031.79,7366.18,2555.32,74953.29,20064.2,13024.4,5733.38,38821.98,113775.27
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,36970,65396.98,16355.53,6552.96,88305.47,19795.89,12890.31,6849.21,39535.41,127840.88
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,11934,7926.41,2609.89,2330.28,12866.58,2580.84,1607.53,998.98,5187.35,18053.93
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,7698,47136.39,0.0,4082.81,51219.2,10777.64,10392.91,4144.87,25315.42,76534.62
